"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BAT1";"Battery_Holder_Coin_2032_BS-7";1;"BS-7";;;
2;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10uf";;;
3;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"100uf";;;
4;"D1,D2";"LED_D3.0mm";2;"RED";;;
5;"Q1";"TO-92-3";1;"2N3904";;;
6;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"22K";;;
7;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
8;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
9;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22k";;;
10;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
11;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
12;"S1";"Switch_Slide_11.6x4mm_EG1218";1;"EG1218";;;
13;"U1";"ICM7555_PDIM";1;"7555";;;
